板块,"目的
（Objective）","目标
（Goal）","策略
（Strategy）","衡量
（Measurement）","计划（P）
符合SMART原则 
什么是SMART？
S（Specific）具体
M（Measurable）可衡量
A（Achievable）可实现
R（Relevant）相关性
T（Time-bound）时间限制

时间+具体计划内容+目标单量",落地店铺,责任人,7.1--7.8 (进度25.81%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,完成情况（D）——过程及结果,状态,检查（C）——经验/教训,下一步计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务维度,达成商品销售目标,"飞机杯目标：980000
* 6月现状：899951.55
目标增幅+8.89%
", 通过对产品结构优化调整和核心类目策略执行，实现全站销售额增长,"飞机杯目标：750000
* 6月现状：514262.85
目标增幅+45.83%（+23.6W）","1. 7/8前完成飞机杯+增大器全类目结构盘点（爆/头/腰）
-价位段结构（款数&利润）盘点-两个月为周期，结构补充或轮换
-输出客单价策略
2. 每周2次核心SKU监控（100%覆盖）
-每周四固定盘点
3. 6/31前输出增长SKU≥10款（单款≥20单）
*SKU见渠道投流清单-商品补充优化+新品清单@刘玉辉",AC-US,刘玉辉,"截至7/8
飞机杯完成销售额16W，完成率21.36%, 进度滞后-4.45%；
预估全月完成率80.1%；",滞后,"动作：
1. 7/7类目偏差优化+核心单品动作：
类目页面排序优化策略：飞机杯目前核心出单品页面前置曝光，扩大核心单品流量+核心出单价位段50-80产品穿插排序
核心单品：K0101042-D1,100125651#1,100176391-D1,100195354#4,100176391#1,100176381#1等

结果回收：环比上一时间段
类目动销SKU提升4.08%（49-51），整体销量环比下滑21.62%（111-87）
下滑分析：
核心下滑SKU：100176381#1下滑7单(15-8)；100176391-D1下滑3单（11-8）从核心下滑SKU来看并非受排序影响，因这几款仍占据核心页面曝光位置
下滑主要原因受渠道下滑：
信息流渠道下滑27.45%（51-37）
SEO下滑25%（20-15）
Email下滑33.33%（18-12）

2. 7/7SKU调价
","1. 跟进占据核心曝光位置SKU转化情况以及已经影响各个价位段占比SKU情况，将能承接流量转化SKU前置交叉排序，提升整体类目转化

2. 跟进头部以上上提价SKU出单情况",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：660000
* 6月现状：557464.4
目标增幅+18.39%",通过提升类目结构 &新品上新 & 潜力老品优化提升类目销售额,BV-UK,刘玉辉,"截至7/8
飞机杯完成销售额13.8W，完成20.84%, 进度滞后-4.97%；
预估全月完成率78.14%；",滞后,"核心问题：
1. 核心SKU掉队明显（多个头部/腰部目标>60的SKU完成率仅10-23%）
头部核心SKUK0101323-D2差额11单；K0101242-D1差额10单
2. 类目整体转化率偏低

动作：7/7核心下滑SKU单品动作+ 7/8主投大类目排序调整优化（与主投渠道SEM已达成共识）
1. 核心TOP核心单品不动：Y76381-1，Z76391-100，K0101043-D1，Y76391-100，K0100924-1
2. 1042截至目前仅4单动图坑位替换给Y75402-1（转化率5.88%)
3. K0101242-D1曝光位置后移到8-9位
4. 50以上价位段转化3%以上SKU, 穿插排序在类目页面1-2排（K0100847-D1，Y76204-1，Y5354-100，Y01668-1
Y75140-1，Q0100234-1）
","1. 核心SKU页面优化提升流量承接力：换图，评论文案优化
2. 类目排序调整： 看占据核心搬位SKU转化是否有效承接流量，不行就调整转化2.5%以上SKU替换排序测试
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：1070000
* 6月现状：1080849.27
目标降幅-1%",通过提升类目结构 & 专题页优化 & 潜力老品优化提升类目销售额,EU,刘玉辉,"截至7/8
飞机杯完成销售额29.2W，完成27.25%, 进度超前1.45%；
预估全月完成率102.2%；",超前,无,7.15前完成飞机杯成本率控制调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：980000
* 6月现状：899951.55
目标增幅+8.89%","1. 7/15前完成类目结构分层
2. 每周2次核心SKU监控
3. 输出增长SKU≥10款（单款≥20单）",BV-US,刘玉辉,"截至7/8
飞机杯完成销售额22.9W，完成23.33%, 进度滞后-2.48%；
预估全月完成率87.48%；",滞后,"截至7/8核心影响因素：
1. 本月类目整体转化率异常（异常原因）
2. 客单价偏低（目标71，截至目前差额落后2.2%）（异常原因）
动作：
1. 通过类目排序优化何理分配头部以上SKU流量占比
 7.3针对类目做整体优化排序后，转化率类目整体提升10.4%，核心下滑类目Suction Masturbators（主要因Y75888，Y75402转化下滑）
5888抢占核心曝光UV4027，转化率仅0.87%，减低占比top10前主投曝光
已沟通渠道做TOP5稳定转化SKU前置曝光，其他仍会结合价位段+转化提升趋势SKU前置穿插排序
经验：
经测试保留核心价位段SKU曝光位置，其他类似堆砌占用前面曝光位置且不出单的SKU后置，将其他高客单价核心出单SKU前置穿插排序方式有效，后续会结合根据单品转化请款及时调整
2. 客单价提升：
7/7完成核心拉低成本率SKU(2-3美金提价）
7/8完成核心低价单品5888-B1涨价+MVP方案组合包价值提升结合","1. 跟进占据核心曝光位置SKU转化情况以及已经影响各个价位段占比SKU情况，将能承接流量转化SKU前置交叉排序，提升整体类目转化
2. 跟进头部以上上提价SKU出单情况
3. 7/15前跟进核心5888-B1MVP方案组合包价值提升有效性

（只是通过曝光调整来追评销售额的话是远远不够的，需要针对你的类目转化异常原因细拆）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自营产品线,提升飞机杯类目产品转化能力,"7月自营产品5款进度监控，核心上架跟进2款
*5578升级款，K0101436-D1，K0101431-B1，100125651-B1，100176381-D2
","通过飞机杯产品验证
*5651","5651上线准确率100%
达到预计上架7月25日","发运:空运15天+上架7天
上架7月底","AC-US,BV-US,EU,BV-UK",刘锦霞,7/6 三个市场已发运,正常,海运预计到货时间8/15，预计上架时间8/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5651单量目标≥15单,,,,,未开始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"通过飞机杯产品验证
*5578升级款","5578升级款：需要达到在10月上线
*至少达到在9月1号首次发运","7.1-7.30跟进包装+丝印+贴牌调整
","AC-US,BV-US,EU,BV-UK",刘锦霞,第三次质检未过，本产品可取消,正常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"通过自营产品及时跟进，实现高效上线与快速增加
","核心SKU:K0101431-B1协同上线（上线准确率100%）
*上线时间7月25日
","1. 确保高准确率与按时上线
2. 强化供应链关键节点跟进，保障海外仓库存及时到位
3. 协同亚马逊与独立站，统一卖点与营销物料打造爆品
4. 提前布局多渠道营销资源，提升推广爆发力
5. 双渠道同步上架并持续进行数据优化与运营迭代",全站,刘玉辉,7/8已经完成亚马逊设计文档修改同步,正常,无,配合亚马逊运营，跟进设计需求输出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"
单量目标> 50（定位超爆）",,,刘玉辉,7/9完成亚马逊设计需求修改,未开始,未开始,"预计上架时间上线时间7月25日
7/6发海运110，预计8/15到货",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
